Borough,Location
City of London,Inner London
Camden,Inner London
Greenwich,Inner London
Hackney,Inner London
Hammersmith and Fulham,Inner London
Islington,Inner London
Kensington and Chelsea,Inner London
Lambeth,Inner London
Lewisham,Inner London
Southwark,Inner London
Tower Hamlets,Inner London
Wandsworth,Inner London
City Of Westminster,Inner London
Barnet,North London 
Enfield,North London 
Haringey,North London 
Waltham Forest,North London 
Barking and Dagenham,East London 
Havering,East London 
Newham,East London 
Redbridge,East London 
Bexley,South London 
Bromley,South London 
Croydon,South London 
Kingston upon Thames,South London 
Merton,South London 
Richmond upon Thames,South London 
Sutton,South London 
Brent,West London
Ealing,West London
Harrow,West London
Hillingdon,West London
Hounslow,West London
